dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,actualdeaths,reff,positive rate,detection rate
2020-10-16,807,807,65235449.900000006,58681118.5,514544.80000000005,357977.4,851049.3999999999,1209428.5,0.0,6589717.4,10606890.0,1427261.6,38549.100000000006,5344952.8,0.0,2.7,111332.4,50.0,71521.786,68850.8,63717.5,68850.8,157517.076,315034.1,24592.7,587.6,63717.5,5133.4,59148.3,2453.6000000000004,0.9254417879795327,0.9601700596897174,0.0010963638038771308,0.1010143627445114,0.0,0.05913684521242884,0.6184255436871926,0.9626549314638201
2020-10-17,810,810,65234817.60000001,58614679.5,546058.5,394945.80000000005,740999.1,1117014.2,0.0,6656106.5,10712294.5,1486821.4,39181.4,5503173.9,0.0,2.7,105404.5,50.0,66389.056,59559.899999999994,54653.100000000006,59559.899999999994,158221.141,316442.3,24615.1,632.2,54653.100000000006,4906.7,59300.8,2149.1,0.9176172519048084,0.9650267941851818,0.0010176935943483037,0.10203303611291156,0.0,0.05943438856909787,0.5650603152616823,0.8971343108117097
2020-10-18,813,813,65234137.2,58555071.4,562999.8,396649.80000000005,627082.2,1018084.2,0.0,6715664.5,10809865.8,1533466.4,39861.8,5661031.6,0.0,2.7,97571.3,50.0,59558.095,46644.9,42030.100000000006,46644.9,157857.65,315715.3,24611.7,680.4,42030.100000000006,4614.9,60037.8,1718.6,0.901063350841462,0.9721713053222014,0.0009129896946042539,0.10294708856822284,0.0,0.058500166292729035,0.47805963433919607,0.7831832096040009
2020-10-19,816,816,65233406.0,58502419.099999994,576284.9,397284.30000000005,513570.4,916183.7,0.0,6768266.9,10907437.0,1578494.1,40593.0,5814853.1,0.0,2.7,97571.1,50.0,52602.265,45027.7,40393.9,45027.7,153821.584,307643.10000000003,24501.3,731.0999999999999,40393.9,4633.799999999999,61380.9,1648.0,0.8970900134805909,0.9738532641375623,0.0008063700521784804,0.10375461462183962,0.0,0.05741453924578663,0.46148603428679186,0.8560030637463995
2020-10-20,819,819,65232621.9,58455700.699999996,581911.1,387462.6,408258.7,818456.6,0.0,6814935.4,11005007.899999999,1621171.2999999998,41377.1,5958514.6,0.0,2.7,97570.9,50.0,46668.498999999996,42677.2,38015.600000000006,42677.2,143661.445,287322.9,24211.8,784.2,38015.600000000006,4661.6,63339.299999999996,1544.9,0.8907707159794926,0.9761898890639015,0.0007154165759509354,0.10447127834976691,0.0,0.05702012666279434,0.43739680580992896,0.9144755223432406
2020-10-21,822,822,65231781.8,58415134.699999996,579621.5,366732.0,313837.7,727531.7,0.0,6855451.300000001,11102578.6,1661216.9000000001,42217.2,6089165.3,0.0,2.7,97570.7,50.0,40516.0,40045.600000000006,35352.9,40045.600000000006,130650.775,261301.60000000003,23837.8,840.1,35352.9,4692.6,65535.700000000004,1429.3,0.8828182941903585,0.9786560143358471,0.0006211082831405964,0.10509373055328684,0.0,0.055689669604774616,0.41042649073953563,0.988389771941949
2020-10-22,825,825,65230882.2,58380911.4,570396.6,335915.4,232162.8,646008.0,0.0,6889624.5,11200149.0,1698806.9,43116.8,6204012.6,0.0,2.7,97570.5,50.0,34173.265999999996,37590.2,32868.9,37590.2,114847.38399999999,229694.7,23380.5,899.5999999999999,32868.9,4721.3,67559.4,1322.8,0.8744007746699937,0.980796199889086,0.0005238817082869377,0.1056190605988769,0.0,0.052899137471981765,0.3852619388032243,1.099988511487313
2020-10-23,828,828,65229918.0,58352984.60000001,532485.1,264668.4,177630.0,576658.1,0.0,6917501.4,11297719.2,1733607.6,44081.0,6300325.300000001,0.0,2.7,97570.2,50.0,27876.807999999997,34800.5,30046.9,34800.5,96312.639,192625.3,22841.5,964.1,30046.9,4753.8,69858.20000000001,1201.7,0.863399299439379,0.9830889151265342,0.00042736230329156626,0.10604798552713189,0.0,0.048342003693349664,0.3566714017189675,1.248367460148235
2020-10-24,831,831,65228879.599999994,58330871.7,493112.1,192521.7,139096.2,522387.3,0.0,6939564.3,11395289.1,1765234.2000000002,45119.4,6375670.600000001,0.0,2.7,97569.9,50.0,22062.974000000002,31626.7,26836.1,31626.7,75345.321,150690.7,22227.7,1038.5,26836.1,4790.7,72471.5,1064.1,0.8485240365765743,0.985529457840828,0.00033823935249686557,0.10638791195794202,0.0,0.04223489736446503,0.3241440239254115,1.4334740185072057
2020-10-25,834,834,65227760.400000006,58313943.0,449188.9,119055.59999999999,100625.9,463976.2,0.0,6956443.1,11492858.7,1793364.1,46238.6,6449891.2,0.0,2.7,97569.6,50.0,16878.66,28129.9,23298.6,28129.9,74220.576,148441.1,22187.8,1119.2,23298.6,4831.3,75347.5,912.8,0.8282503670471634,0.9880304693267663,0.000258764978231569,0.10664850452231683,0.0,0.03637828836910169,0.28830598875059443,1.6665955709754212
2020-10-26,837,837,65226554.7,58301476.7,405605.6,57771.0,64936.2,404464.5,0.0,6968859.4,11590428.0,1817910.1,47444.3,6520663.5,0.0,2.7,97569.3,50.0,12416.296999999999,24545.9,19673.0,24545.9,70772.275,141544.5,22077.6,1205.7,19673.0,4872.9,78286.5,758.1,0.8014780472502535,0.9904092120144828,0.00019035647455406684,0.10684083241943791,0.0,0.03069811318422259,0.2515740094476439,1.976909862900348
2020-10-27,840,840,65225256.400000006,58292054.900000006,367685.2,22893.9,35740.2,346894.5,0.0,6978231.0,11687997.0,1838925.3,48742.6,6586356.9,0.0,2.7,97568.9,50.0,9371.67,21015.300000000003,16101.600000000002,21015.300000000003,65693.333,131386.7,21928.5,1298.3,16101.600000000002,4913.7,81170.0,606.3,0.766184636907396,0.9925858714566445,0.0001436816122657664,0.1069866396109713,0.0,0.027015908294885045,0.21538933000167065,2.2424285106069677
2020-10-28,843,843,65223857.199999996,58284753.599999994,339213.4,22911.6,17614.3,293862.9,0.0,6985482.4,11785565.5,1856609.7,50141.799999999996,6645290.800000001,0.0,2.7,97568.6,50.0,7251.439,17684.399999999998,12732.400000000001,17684.399999999998,58933.958,117867.9,21730.1,1399.2,12732.400000000001,4952.0,83879.0,463.7,0.7199791906991473,0.9945021916538124,0.00011117770876022341,0.10710011182840626,0.0,0.024676265700774067,0.18125093523941102,2.438743537661973
2020-10-29,846,846,65222345.0,58279556.2,309891.5,22929.300000000003,3026.3,245497.0,0.0,6990629.799999999,11883133.7,1871843.8,51654.0,6697341.8,0.0,2.7,97568.1,50.0,5147.354,15234.0,10253.2,15234.0,52051.021,104102.0,21528.0,1512.1,10253.2,4980.7,85911.5,356.70000000000005,0.673051549504723,0.9958652203245228,7.89201001589256e-05,0.10718151578266619,0.0,0.02096707495407276,0.15613709808841209,2.9595788438098487
2020-10-30,849,849,65220707.0,58276295.900000006,281098.0,22946.699999999997,50.0,200939.8,0.0,6993840.0,11980701.399999999,1885280.2,53292.0,6743521.199999999,0.0,2.7,97567.7,50.0,3210.201,13436.400000000001,8434.8,13436.400000000001,46179.437,92358.9,21355.7,1638.0,8434.8,5001.5,87384.3,279.2,0.6277621071277063,0.9968150940813452,4.9220579592919773e-05,0.10723342818102233,0.0,0.015975934085731152,0.13771360808956246,4.185532307790074
2020-10-31,852,852,65219061.599999994,58274580.5,253043.40000000002,22964.4,50.0,160918.5,0.0,6995505.6,12078268.6,1896851.5,54937.399999999994,6783612.699999999,0.0,2.7,97567.2,50.0,1665.542,11571.3,6548.200000000001,11571.3,40091.413,80182.8,21176.9,1645.4,6548.200000000001,5023.0,88905.1,199.1,0.5659050055309734,0.9977655374269675,2.5537656616635528e-05,0.10726167209986352,0.0,0.01035022076392708,0.11859825843111209,6.947468151508638
2020-11-01,855,855,65217393.5,58273709.400000006,225625.2,22981.800000000003,50.0,126306.1,0.0,6996326.5,12175835.3,1906629.5,56605.5,6817427.899999999,0.0,2.7,97566.7,50.0,820.989,9778.1,4734.5,9778.1,33815.149000000005,67630.3,20992.7,1668.1,4734.5,5043.6,90357.2,122.6,0.484194270870619,0.9986450014257325,1.2588497576187249e-05,0.10727700272167424,0.0,0.0064999948537719085,0.10021964461235237,11.910147395397502
2020-11-02,858,858,65215717.900000006,58273518.099999994,199482.0,22999.5,50.0,97237.2,0.0,6996468.0,12273401.6,1914922.2,58281.100000000006,6845012.5,0.0,2.7,97566.3,50.0,141.40699999999998,8292.6,3232.6,8292.6,27584.672,55169.399999999994,20809.8,1675.6,3232.6,5060.1,91530.70000000001,60.9,0.38981272685615054,0.9993350918643195,2.168296302692391e-06,0.10728192873270509,0.0,0.0014542479627138584,0.08499451142453901,58.643490067677
2020-11-03,861,861,65214045.900000006,58273465.300000004,175639.6,23016.9,50.0,73786.4,0.0,6996470.699999999,12370967.399999999,1922375.1,59953.100000000006,6866844.300000001,0.0,2.7,97565.8,50.0,2.77,7452.8,2384.6,7452.8,21831.765,43663.5,20640.9,1671.7,2384.6,5068.2,92107.4,30.5,0.31996028338342636,0.9996689744394001,4.247551216570048e-08,0.10728472069848988,0.0,3.754079342534668e-05,0.07638742264195035,2690.5415162454874
2020-11-04,864,864,65212416.900000006,58273412.5,154561.40000000002,23034.300000000003,50.0,55508.3,0.0,6996473.5,12468532.6,1929132.1,61582.100000000006,6883546.0,0.0,2.7,97565.3,50.0,2.77,6757.0,1682.0,6757.0,16701.78,33403.6,20490.3,1629.0,1682.0,5075.0,92585.1,5.3999999999999995,0.24892703862660945,0.9999416786819383,4.24765731999729e-08,0.10728744359726375,0.0,4.990244702143643e-05,0.06925618021981175,2439.350180505415
2020-11-05,867,867,65210895.5,58273359.8,136885.6,23051.699999999997,50.0,41753.5,0.0,6996476.200000001,12566097.5,1935744.9,63103.5,6895832.199999999,0.0,2.7,97564.8,50.0,2.77,6612.799999999999,1536.4,6612.799999999999,12286.179,24572.4,18267.4,1521.4,1536.4,5076.4,92683.8,0.2,0.23233728526494077,0.999997842130249,4.2477564197841755e-08,0.10728998806648808,0.0,6.634174380590849e-05,0.06777854308111121,2387.292418772563
2020-11-06,870,870,65209511.900000006,58273306.900000006,122703.3,23069.4,50.0,31149.199999999997,0.0,6996479.0,12663661.8,1942357.7,64487.100000000006,6905105.6,0.0,2.7,97564.4,50.0,2.77,6612.799999999999,1536.4,6612.799999999999,9273.46,18546.899999999998,16200.099999999999,1383.7,1536.4,5076.4,92683.4,0.2,0.23233728526494077,0.9999978421209362,4.2478465476752016e-08,0.10729230745859944,0.0,8.892684242291938e-05,0.06777882096338418,2387.292418772563
2020-11-07,873,873,65208295.6,58273254.199999996,111816.9,23086.800000000003,50.0,22810.2,0.0,6996481.800000001,12761225.8,1948970.4000000001,65703.4,6912281.1,0.0,2.7,97564.0,50.0,2.77,6612.7,1536.4,6612.7,7175.4490000000005,14350.900000000001,14350.900000000001,1216.3,1536.4,5076.3,92683.0,0.2,0.23234079876601085,0.9999978421116232,4.2479257807805666e-08,0.10729435167141527,0.0,0.00012143690103550166,0.06777807387970973,2387.2563176895305
