,dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,p_infected_all_simulated,p_infected_all,reff,positive rate,detection rate,actualdeaths,actualcases,actualnewtests_mit,actualnewdeaths,actualnewcases
547,2021-05-23,1641,1641,109563542.41099998,102965506.11199999,17142.612,3099.558,514497.062,519916.331,0.0,6615522.888,13000376.083,576351.903,17456.589,6078149.969,0.0,2.818,60000.0,30.0,34432.373,919.296,215.197,306.432,32306.144,64612.287000000004,26157.239,85.391,191.447,119.59700000000001,59678.88,10.077,0.6154981288820874,0.999831174801731,0.0003142685262113527,0.06022136701503334,0.004,0.0,0.9934013690368192,0.015321600000000001,0.02669859553391804,0.0,0.0,0.0,0.0,0.0
548,2021-05-24,1644,1644,109563456.62200001,102930913.043,17164.015,3114.5070000000005,516551.11699999997,521977.85400000005,0.0,6650115.958,13060376.083,576659.111,17542.378,6110595.725,0.0,2.818,60000.0,30.0,34563.069,921.626,216.093,307.209,32445.758,64891.513999999996,26157.92,85.789,192.206,119.596,59678.081999999995,10.117,0.616436071609547,0.9998305025085444,0.0003154616517735882,0.06053636663621107,0.006,0.0,0.9932337761594,0.015360433333333333,0.026665051069394326,0.0,0.0,0.0,0.0,0.0
549,2021-05-25,1647,1647,109563370.437,102896190.01300001,17185.36,3129.411,518595.763,524029.94399999996,0.0,6684838.987,13120376.082,576967.094,17628.563000000002,6143180.479,0.0,2.818,60000.0,30.0,34693.03,923.947,216.986,307.98199999999997,32584.754,65169.507,26158.597999999998,86.185,192.96200000000002,119.594,59677.288,10.155999999999999,0.6173677676960289,0.9998298469607778,0.0003166480719023592,0.060852549509999874,0.004,0.0,0.9930643390866993,0.015399116666666667,0.026632064135072665,0.0,0.0,0.0,0.0,0.0
550,2021-05-26,1650,1650,109563283.857,102861337.772,17206.646,3144.2699999999995,520630.887,526072.49,0.0,6719691.229,13180376.082,577275.8470000001,17715.143,6175903.593,0.0,2.816,60000.0,30.0,34822.240999999995,926.257,217.875,308.752,32723.114,65446.228,26159.272,86.581,193.713,119.59200000000001,59676.499,10.195,0.6182888878249628,0.9998291914107356,0.00031782764968462746,0.061169908842338985,0.004,0.0,0.9928928520858408,0.015437616666666666,0.026599580423327725,0.0,0.0,0.0,0.0,0.0
551,2021-05-27,1653,1653,109563196.88,102826357.081,17227.874,3159.084,522656.367,528105.369,0.0,6754671.919,13240376.081999999,577585.366,17802.120000000003,6208764.43,0.0,2.815,60000.0,30.0,34950.691,928.558,218.76,309.519,32860.836,65721.674,26159.944,86.976,194.461,119.59100000000001,59675.713,10.235,0.6192000050946977,0.999828519101347,0.000319000284724076,0.06148843764004634,0.004,0.0,0.9927192484195329,0.015475966666666667,0.026567657846879193,0.0,0.0,0.0,0.0,0.0
552,2021-05-28,1656,1656,109563109.511,102791248.711,17249.045,3173.8559999999998,524672.0519999999,530128.433,0.0,6789780.29,13300376.083,577895.649,17889.489,6241762.368,0.0,2.815,60000.0,30.0,35078.371,930.85,219.642,310.283,32997.936,65995.874,26160.612999999998,87.37100000000001,195.20499999999998,119.589,59674.931,10.274000000000001,0.6201039409899808,0.999827863538376,0.00032016589485786887,0.061808128951653295,0.004,0.0,0.9925435653816366,0.015514166666666667,0.02653629497219241,0.0,0.0,0.0,0.0,0.0
553,2021-05-29,1659,1659,109563021.74399999,102756013.437,17270.16,3188.5860000000002,526677.75,532141.488,0.0,6825015.563,13360376.083,578206.694,17977.255999999998,6274896.819,0.0,2.814,60000.0,30.0,35205.273,933.132,220.51999999999998,311.044,33134.452000000005,66268.905,26161.279000000002,87.76599999999999,195.945,119.58699999999999,59674.153999999995,10.312999999999999,0.6209988210387536,0.9998272079735586,0.000321324407081972,0.06212897562194861,0.004,0.0,0.9923659532443747,0.015552199999999999,0.026505461269963733,0.0,0.0,0.0,0.0,0.0
554,2021-05-30,1662,1662,109562933.583,102720652.04800001,17291.219,3203.2740000000003,528673.238,534144.31,0.0,6860376.953,13420376.083,578518.495,18065.417,6308167.225000001,0.0,2.812,60000.0,30.0,35331.39,935.404,221.394,311.801,33270.405,66540.81,26161.942,88.161,196.681,119.58599999999998,59673.381,10.352,0.6218827762618294,0.9998265524041534,0.00032247575748995907,0.062450970526602124,0.004,0.0,0.992186643343631,0.015590066666666666,0.026475154246691116,0.0,0.0,0.0,0.0,0.0
555,2021-05-31,1665,1665,109562845.03,102685165.33600001,17312.222999999998,3217.92,530658.279,536136.665,0.0,6895863.665000001,13480376.081999999,578831.05,18153.97,6341573.028000001,0.0,2.812,60000.0,30.0,35456.712,937.6659999999999,222.26500000000001,312.556,33405.803,66811.60699999999,26162.602,88.554,197.412,119.584,59672.613,10.39,0.622758646796805,0.999825913585481,0.0003236198547992379,0.0627741064328585,0.004,0.0,0.9920057976262452,0.015627766666666664,0.02644537372782902,0.0,0.0,0.0,0.0,0.0
556,2021-06-01,1668,1668,109562756.083,102649554.10300002,17333.173000000003,3232.521,532632.627,538118.307,0.0,6931474.897,13540376.082,579144.355,18242.916999999998,6375113.673,0.0,2.811,60000.0,30.0,35581.233,939.917,223.13,313.306,33540.645000000004,67081.29000000001,26163.260000000002,88.945,198.13899999999998,119.583,59671.849,10.428,0.6236237969042119,0.9998252747628915,0.0003247566442472951,0.06309837600984439,0.006,0.0,0.991823708759271,0.015665283333333335,0.02641608850373454,0.0,0.0,0.0,0.0,0.0
