days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
54,Rest of population,24863313.5,24798529.3,0.0,20952.5,0.0,20952.5,0.0,121.5,43831.7,0.0,1.0,0.0,1065.1,0.0,0.0,0.0,2089.5,5.8
55,Rest of population,24863307.7,24797464.2,0.0,19922.4,0.0,19922.4,0.0,127.3,45921.1,0.0,1.0,0.0,1030.0,0.0,0.0,0.0,1986.7,5.5
56,Rest of population,24863302.2,24796434.2,0.0,18960.2,0.0,18960.2,0.0,132.8,47907.8,0.0,1.0,0.0,996.3,0.0,0.0,0.0,1890.8,5.2
57,Rest of population,24863297.0,24795437.9,0.0,18060.4,0.0,18060.4,0.0,138.0,49798.6,0.0,1.0,0.0,963.9,0.0,0.0,0.0,1801.0,5.0
58,Rest of population,24863292.0,24794474.0,0.0,17218.3,0.0,17218.3,0.0,143.0,51599.7,0.0,1.0,0.0,932.9,0.0,0.0,0.0,1717.1,4.8
59,Rest of population,24863287.2,24793541.1,0.0,16429.3,0.0,16429.3,0.0,147.8,53316.7,0.0,1.0,0.0,903.0,0.0,0.0,0.0,1638.4,4.5
60,Rest of population,24863282.7,24792638.1,0.0,15689.4,0.0,15689.4,0.0,152.3,54955.1,0.0,1.0,0.0,874.3,0.0,0.0,0.0,1564.6,4.3
61,Rest of population,24863278.3,24791763.7,0.0,14994.8,0.0,14994.8,0.0,156.7,56519.7,0.0,1.0,0.0,846.7,0.0,0.0,0.0,1495.3,4.1
62,Rest of population,24863274.2,24790917.0,0.0,14342.1,0.0,14342.1,0.0,160.8,58015.1,0.0,1.0,0.0,820.1,0.0,0.0,0.0,1430.2,4.0
63,Rest of population,24863270.2,24790096.9,0.0,13728.0,0.0,13728.0,0.0,164.8,59445.3,0.0,1.0,0.0,794.5,0.0,0.0,0.0,1369.0,3.8
64,Rest of population,24863266.4,24789302.3,0.0,13149.8,0.0,13149.8,0.0,168.6,60814.3,0.0,1.0,0.0,769.8,0.0,0.0,0.0,1311.3,3.6
65,Rest of population,24863262.8,24788532.5,0.0,12604.6,0.0,12604.6,0.0,172.2,62125.7,0.0,1.0,0.0,746.0,0.0,0.0,0.0,1257.0,3.5
66,Rest of population,24863259.3,24787786.5,0.0,12090.2,0.0,12090.2,0.0,175.7,63382.6,0.0,1.0,0.0,723.0,0.0,0.0,0.0,1205.7,3.3
67,Rest of population,24863256.0,24787063.4,0.0,11604.2,0.0,11604.2,0.0,179.0,64588.3,0.0,1.0,0.0,700.8,0.0,0.0,0.0,1157.2,3.2
68,Rest of population,24863252.7,24786362.6,0.0,11144.6,0.0,11144.6,0.0,182.3,65745.5,0.0,1.0,0.0,679.4,0.0,0.0,0.0,1111.4,3.1
69,Rest of population,24863249.7,24785683.2,0.0,10709.5,0.0,10709.5,0.0,185.3,66856.9,0.0,1.0,0.0,658.7,0.0,0.0,0.0,1068.0,3.0
70,Rest of population,24863246.7,24785024.5,0.0,10297.3,0.0,10297.3,0.0,188.3,67924.9,0.0,1.0,0.0,638.6,0.0,0.0,0.0,1026.9,2.8
71,Rest of population,24863243.9,24784385.9,0.0,9906.2,0.0,9906.2,0.0,191.1,68951.8,0.0,1.0,0.0,619.3,0.0,0.0,0.0,987.9,2.7
72,Rest of population,24863241.1,24783766.7,0.0,9534.8,0.0,9534.8,0.0,193.9,69939.7,0.0,1.0,0.0,600.5,0.0,0.0,0.0,950.8,2.6
73,Rest of population,24863238.5,24783166.2,0.0,9181.8,0.0,9181.8,0.0,196.5,70890.5,0.0,1.0,0.0,582.3,0.0,0.0,0.0,915.6,2.5
74,Rest of population,24863235.9,24782583.8,0.0,8846.0,0.0,8846.0,0.0,199.1,71806.1,0.0,1.0,0.0,564.8,0.0,0.0,0.0,882.2,2.4
75,Rest of population,24863233.5,24782019.1,0.0,8526.1,0.0,8526.1,0.0,201.5,72688.3,0.0,1.0,0.0,547.7,0.0,0.0,0.0,850.3,2.4
76,Rest of population,24863231.1,24781471.3,0.0,8221.3,0.0,8221.3,0.0,203.9,73538.6,0.0,1.0,0.0,531.2,0.0,0.0,0.0,819.9,2.3
77,Rest of population,24863228.9,24780940.1,0.0,7930.4,0.0,7930.4,0.0,206.1,74358.4,0.0,1.0,0.0,515.2,0.0,0.0,0.0,790.8,2.2
78,Rest of population,24863226.7,24780424.9,0.0,7652.6,0.0,7652.6,0.0,208.3,75149.3,0.0,1.0,0.0,499.7,0.0,0.0,0.0,763.1,2.1
79,Rest of population,24863224.6,24779925.1,0.0,7387.0,0.0,7387.0,0.0,210.4,75912.4,0.0,1.0,0.0,484.7,0.0,0.0,0.0,736.7,2.0
80,Rest of population,24863222.5,24779440.4,0.0,7133.0,0.0,7133.0,0.0,212.5,76649.1,0.0,1.0,0.0,470.1,0.0,0.0,0.0,711.3,2.0
81,Rest of population,24863220.5,24778970.3,0.0,6889.8,0.0,6889.8,0.0,214.5,77360.4,0.0,1.0,0.0,456.0,0.0,0.0,0.0,687.1,1.9
82,Rest of population,24863218.6,24778514.4,0.0,6656.8,0.0,6656.8,0.0,216.4,78047.5,0.0,1.0,0.0,442.2,0.0,0.0,0.0,663.8,1.8
83,Rest of population,24863216.8,24778072.1,0.0,6433.4,0.0,6433.4,0.0,218.2,78711.3,0.0,1.0,0.0,428.9,0.0,0.0,0.0,641.6,1.8
84,Rest of population,24863215.0,24777643.2,0.0,6218.9,0.0,6218.9,0.0,220.0,79352.9,0.0,1.0,0.0,416.0,0.0,0.0,0.0,620.2,1.7
85,Rest of population,24863213.3,24777227.3,0.0,6013.0,0.0,6013.0,0.0,221.7,79973.0,0.0,1.0,0.0,403.4,0.0,0.0,0.0,599.6,1.7
86,Rest of population,24863211.6,24776823.9,0.0,5815.1,0.0,5815.1,0.0,223.4,80572.7,0.0,1.0,0.0,391.2,0.0,0.0,0.0,579.9,1.6
87,Rest of population,24863210.0,24776432.7,0.0,5624.8,0.0,5624.8,0.0,225.0,81152.6,0.0,1.0,0.0,379.3,0.0,0.0,0.0,560.9,1.6
88,Rest of population,24863208.5,24776053.4,0.0,5441.6,0.0,5441.6,0.0,226.5,81713.5,0.0,1.0,0.0,367.8,0.0,0.0,0.0,542.7,1.5
89,Rest of population,24863207.0,24775685.5,0.0,5265.3,0.0,5265.3,0.0,228.0,82256.2,0.0,1.0,0.0,356.6,0.0,0.0,0.0,525.1,1.5
90,Rest of population,24863205.5,24775328.9,0.0,5095.4,0.0,5095.4,0.0,229.5,82781.2,0.0,1.0,0.0,345.8,0.0,0.0,0.0,508.1,1.4
91,Rest of population,24863204.1,24774983.1,0.0,4931.6,0.0,4931.6,0.0,230.9,83289.4,0.0,1.0,0.0,335.2,0.0,0.0,0.0,491.8,1.4
92,Rest of population,24863202.8,24774647.9,0.0,4773.7,0.0,4773.7,0.0,232.2,83781.2,0.0,1.0,0.0,324.9,0.0,0.0,0.0,476.0,1.3
93,Rest of population,24863201.4,24774323.0,0.0,4621.2,0.0,4621.2,0.0,233.6,84257.2,0.0,1.0,0.0,315.0,0.0,0.0,0.0,460.8,1.3
