days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
148,Hospitals,2493.1,0.0,37.4,0.0,11500.2,0.0,2440.3,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
149,Hospitals,2493.1,0.0,37.4,0.0,11550.1,0.0,2444.1,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
150,Hospitals,2493.1,0.0,37.4,0.0,11599.9,0.0,2447.8,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
151,Hospitals,2493.1,0.0,37.4,0.0,11649.8,0.0,2451.5,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
152,Hospitals,2493.1,0.0,37.4,0.0,11699.7,0.0,2455.3,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
153,Hospitals,2493.1,0.0,37.4,0.0,11749.5,0.0,2459.0,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
154,Hospitals,2493.1,0.0,37.4,0.0,11799.4,0.0,2462.8,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
155,Hospitals,2493.1,0.0,37.4,0.0,11849.2,0.0,2466.5,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
156,Hospitals,2493.1,0.0,37.4,0.0,11899.1,0.0,2470.2,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
157,Hospitals,2493.1,0.0,37.4,0.0,11949.0,0.0,2474.0,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
158,Hospitals,2493.1,0.0,37.4,0.0,11998.8,0.0,2477.7,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
159,Hospitals,2493.1,0.0,37.4,0.0,12048.7,0.0,2481.5,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
160,Hospitals,2493.1,0.0,37.4,0.0,12098.6,0.0,2485.2,6.9,2493.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,0.0,0.0
